global_step,local_step,pkl_format,demo_scale_source,demo_pos_scale,demo_rot_scale,current_pos_scale,current_rot_scale,raw_action_min,raw_action_max,action_changed_by_safety,intervention_overrode_action,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_6_desc,prev_gripper_feedback,next_gripper_feedback,delta_gripper_feedback,prev_gripper_state,next_gripper_state,prev_hw_gripper_cmd_right,next_hw_gripper_cmd_right,prev_hw_gripper_cmd_left,next_hw_gripper_cmd_left,refresh_success,refresh_source,reward,done,truncated
54,54,legacy_list,manual,0.018,0.05,0.018,0.05,-0.1208401471376419,0.06279018521308899,False,False,0.06279018521308899,0.010329816490411758,-0.1208401471376419,0.020829692482948303,-0.012152189388871193,0.0032348225358873606,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
55,55,legacy_list,manual,0.018,0.05,0.018,0.05,-0.0714552104473114,0.07630611956119537,False,False,0.04925496131181717,0.0540216788649559,-0.0714552104473114,0.07630611956119537,-0.011986946687102318,-0.005299575626850128,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
56,56,legacy_list,manual,0.018,0.05,0.018,0.05,-0.06760822981595993,0.0391867458820343,False,False,0.0391867458820343,-0.060687463730573654,-0.06760822981595993,0.004261077381670475,0.0069754659198224545,-0.04511389508843422,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
57,57,legacy_list,manual,0.018,0.05,0.018,0.05,-0.051053036004304886,0.02581791765987873,False,False,0.02581791765987873,0.01574224978685379,-0.051053036004304886,0.013867620378732681,-0.007642625831067562,-0.002405713777989149,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
58,58,legacy_list,manual,0.018,0.05,0.018,0.05,-0.10570139437913895,0.06563588231801987,False,False,-0.008843839168548584,-0.07680390030145645,-0.10570139437913895,-0.059057775884866714,0.06563588231801987,-0.047961700707674026,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
59,59,legacy_list,manual,0.018,0.05,0.018,0.05,-0.0885360836982727,0.05234657600522041,False,False,-0.0017666155472397804,-0.04519191384315491,-0.0885360836982727,-0.037134476006031036,0.05234657600522041,-0.044615525752305984,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
60,60,legacy_list,manual,0.018,0.05,0.018,0.05,-0.0700925812125206,0.022531431168317795,False,False,0.003038181224837899,0.02105534076690674,-0.0700925812125206,-0.019150547683238983,0.022531431168317795,-0.008522634394466877,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
61,61,legacy_list,manual,0.018,0.05,0.018,0.05,-0.07481498271226883,0.05056378245353699,False,False,0.05056378245353699,-0.027060510590672493,-0.036747921258211136,-0.07481498271226883,-0.02005806565284729,-0.01417294517159462,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
62,62,legacy_list,manual,0.018,0.05,0.018,0.05,-0.017002224922180176,0.04564308747649193,False,False,0.04564308747649193,0.04085236415266991,-0.017002224922180176,-0.002270032651722431,-0.01611950807273388,-0.004767588805407286,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
63,63,legacy_list,manual,0.018,0.05,0.018,0.05,-0.03224363178014755,0.03593727946281433,False,False,0.0024777320213615894,0.01490116212517023,-0.03224363178014755,-0.00552130164578557,0.03593727946281433,0.010057076811790466,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
64,64,legacy_list,manual,0.018,0.05,0.018,0.05,-0.01225041039288044,0.02543085440993309,False,False,0.011184977367520332,0.01686149276793003,-0.01225041039288044,0.02543085440993309,0.017636779695749283,0.016965745016932487,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
65,65,legacy_list,manual,0.018,0.05,0.018,0.05,-0.013753772713243961,0.08554595708847046,False,False,-0.013753772713243961,0.010694066993892193,-0.01290937326848507,0.08554595708847046,0.04009900614619255,0.03320511430501938,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
66,66,legacy_list,manual,0.018,0.05,0.018,0.05,-0.10113584250211716,0.049181874841451645,False,False,-0.027045609429478645,-0.10113584250211716,0.009538399055600166,0.028308648616075516,0.049181874841451645,0.040717337280511856,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
67,67,legacy_list,manual,0.018,0.05,0.018,0.05,-0.11723406612873077,0.026118451729416847,False,False,-0.030049020424485207,-0.11723406612873077,0.021871594712138176,-0.013455315493047237,0.026118451729416847,0.015340088866651058,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
68,68,legacy_list,manual,0.018,0.05,0.018,0.05,-0.08576942980289459,0.0357072576880455,False,False,-0.07559028267860413,-0.08576942980289459,0.017061002552509308,0.0357072576880455,0.02508006989955902,0.0014267103979364038,0.0,hold(0),79.51110076904297,79.51110076904297,0.0,open,open,80.0,80.0,80.0,80.0,True,env.unwrapped._get_sync_obs,0.0,False,False
